year,avg_temp_c,rainfall_mm,co2_emissions,sea_level_rise_mm,population,renewable_energy_pct,extreme_weather_events,forest_area_pct
2000,20.50188679245283,1687.7358490566037,11.224528301886792,2.939622641509434,624658004.1886792,27.566037735849058,7.830188679245283,41.890566037735844
2001,20.117073170731707,1756.9024390243903,9.929268292682927,3.273170731707317,662940256.2926829,25.658536585365855,7.682926829268292,42.21707317073171
2002,21.43333333333333,1928.7450980392157,9.933333333333334,2.952941176470588,578164503.5490196,25.860784313725492,7.0588235294117645,41.062745098039215
2003,18.21951219512195,1826.7073170731708,11.085365853658537,2.9341463414634146,669809647.9512196,26.58780487804878,7.975609756097561,39.165853658536584
2004,18.804000000000002,1713.92,10.0,2.79,692544331.56,29.47,6.42,42.238
2005,19.532432432432433,1594.945945945946,8.537837837837838,2.937837837837838,801297257.081081,24.71081081081081,7.702702702702703,40.73513513513514
2006,19.805128205128206,1946.974358974359,10.497435897435897,3.0564102564102567,735391835.8461539,29.35641025641026,7.666666666666667,40.702564102564104
2007,20.5625,1662.4,10.334999999999999,2.8225000000000002,657283988.625,24.369999999999997,7.6,42.1875
2008,19.144444444444446,1724.3333333333333,10.375,3.0305555555555554,650472606.0833334,28.297222222222224,8.0,43.02222222222222
2009,19.73030303030303,1581.4242424242425,10.363636363636363,2.7606060606060603,705195323.6363636,25.884848484848487,6.090909090909091,44.2939393939394
2010,17.96333333333333,1712.9666666666667,9.873333333333333,3.1300000000000003,720917740.3666667,24.733333333333334,7.266666666666667,40.92333333333333
2011,18.856818181818184,1862.8181818181818,9.80909090909091,3.027272727272727,820591348.7272727,27.202272727272728,6.636363636363637,41.038636363636364
2012,17.56904761904762,1611.8095238095239,10.640476190476189,2.95,696570931.5476191,27.728571428571428,6.857142857142857,38.226190476190474
2013,18.82903225806452,1615.7096774193549,11.135483870967741,2.97741935483871,655980659.3870968,26.345161290322583,8.258064516129032,35.86129032258064
2014,20.83409090909091,1722.590909090909,11.409090909090908,3.122727272727273,728914677.8863636,28.497727272727275,6.886363636363637,37.434090909090905
2015,19.91627906976744,1681.9767441860465,9.667441860465116,3.0534883720930237,627998207.9302325,30.73720930232558,8.046511627906977,40.097674418604655
2016,21.16078431372549,1609.3921568627452,10.398039215686273,3.007843137254902,752546334.1764706,28.466666666666665,6.9411764705882355,40.20980392156862
2017,19.478125,1959.71875,8.234375,2.875,904173825.34375,30.834375,6.84375,39.7875
2018,23.25,1725.891304347826,10.443478260869567,3.0217391304347827,675613252.8043479,27.058695652173913,7.195652173913044,41.4804347826087
2019,20.4025,1984.225,9.8125,3.2,716974899.35,25.752499999999998,8.2,45.7725
2020,19.044186046511626,1564.6511627906978,10.246511627906978,3.309302325581396,697982734.0232558,28.039534883720933,5.930232558139535,40.0
2021,20.07608695652174,1803.1739130434783,11.521739130434783,3.0869565217391304,705737990.8695652,27.34130434782609,7.913043478260869,39.12173913043478
2022,18.96,1766.4444444444443,12.326666666666668,2.96,750916269.0,26.71333333333333,7.266666666666667,36.757777777777775
2023,21.107142857142858,1668.952380952381,11.402380952380952,3.007142857142857,773132207.3809524,26.75,7.023809523809524,39.47380952380953
